gerencia;loc;localidade;unidade;ose;processo;tipo;descricao;equipe;responsavel;data;prazo;qtd_equipamentos
GRPG;JCU1;IMBITUVA;EEE-01;JC043373;BOMBEAMENTO DE PROCESSO;ESGOTO;INSPEÄ«O E REVIS«O ELETROMEC∂NICA EM UNIDADES OPERACIONAIS;SDMEH;;10/09/2020;21/09/2020;1
GRPG;JJA4;IRATI;CSB-04 NHAPINDAZAL NOVO;JJ054849;BOMBEAMENTO DE PROCESSO;µGUA;INSPEÄ«O E REVIS«O ELETROMEC∂NICA EM UNIDADES OPERACIONAIS;SDMEH;;11/09/2020;30/09/2020;1
GRPG;JCD2;IMBITUVA;EEB-02 (HIGRAS);JC043382;BOMBEAMENTO DE PROCESSO;µGUA;INSPEÄ«O E REVIS«O ELETROMEC∂NICA EM UNIDADES OPERACIONAIS;SDMEH;;12/09/2020;01/10/2020;4
GRPG;JJGD;IRATI;EET-13 F‡SFORO;JJ054867;PAINêIS;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEH;;15/09/2020;14/10/2020;1
GRPG;JJD2;IRATI;EEB-02 (IMBITUV«O);JJ054894;EEB-02 (IMBITUV«O);µGUA;INSPEÄ«O E REVIS«O ELETROMEC∂NICA EM UNIDADES OPERACIONAIS;SDMEH;;16/09/2020;27/09/2020;2
GRPG;LQG1;LONTR«O (IMBITUVA);EET-01;LQ001144;PAINêIS;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEH;;18/09/2020;17/10/2020;1
GRPG;JJG3;IRATI;EET-03 CALIF‡RNIA;JJ054876;BOMBA;µGUA;SUBSTITUIR ‡LEO DE EQUIPAMENTOS;SDMEH;;18/09/2020;17/10/2020;1
GRPG;JJU6;IRATI;EEE-06 RIOZINHO;JJ054885;PAINEL;ESGOTO;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEH;;19/09/2020;18/10/2020;1
GRPG;JCU4;IMBITUVA;EEE-04 VILA NOVA;JC043409;EEE-04 VILA NOVA;ESGOTO;INSPEÄ«O E REVIS«O ELETROMEC∂NICA EM UNIDADES OPERACIONAIS;SDMEH;;21/09/2020;10/10/2020;1
GRPG;JJA2;IRATI;CSB-02 (SA÷DA PARA IMBITUVA);JJ054902;CSB-02 (SA÷DA PARA IMBITUVA);µGUA;INSPEÄ«O E REVIS«O ELETROMEC∂NICA EM UNIDADES OPERACIONAIS;SDMEH;;21/09/2020;20/10/2020;1
GRPG;GWG1;FERNANDES PINHEIRO;EET-01;GW002837;PAINEL;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEH;;21/09/2020;20/10/2020;1
GRPG;JCU2;IMBITUVA;EEE-02;JC043391;BOMBA;ESGOTO;SUBSTITUIR ‡LEO DE EQUIPAMENTOS;SDMEH;;23/09/2020;22/10/2020;1
