gerencia;loc;localidade;unidade;ose;processo;tipo;descricao;equipe;responsavel;data;prazo;qtd_equipamentos
GRTB;OFG1;ORTIGUEIRA;EET-01 ETA;OF009533;PAINEL;ÁGUA;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEE;;24/09/2020;23/10/2020;2
GRTB;OFD1;ORTIGUEIRA;EEB-01 (ETA);OF009551;PAINÉIS;ÁGUA;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEE;;24/09/2020;23/10/2020;2
GRTB;RMJ1;RESERVA;ETA-01;RM019055;ETA-01;ÁGUA;INSPEÇÃO E REVISÃO ELETROMECÂNICA EM UNIDADES OPERACIONAIS;SDMEE;;25/09/2020;14/10/2020;0
GRTB;VYG4;TELÊMACO BORBA;EET-04 PRESIDENTE VARGAS;VY040583;PAINÉIS;ÁGUA;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEE;;25/09/2020;24/10/2020;3
GRTB;VYJ1;TELÊMACO BORBA;ETA-01;VY040565;QDF - 06 (HIDROGEROX);ÁGUA;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEE;;25/09/2020;24/10/2020;0
GRTB;AZG8;ARAPOTI;EET-08 (REL-IMPACEL);AZ015013;PAINEL;ÁGUA;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEF;;01/09/2020;30/09/2020;0
GRTB;EFX2;CARAMBEÍ;ETE-02 (POLO - 02);EF023159;PAINÉIS;ESGOTO;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEF;;03/09/2020;02/10/2020;0
GRTB;EJG9;CASTRO;EET-09 ALVORADA;EJ034283;PAINEL;ÁGUA;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEF;;07/09/2020;06/10/2020;0
GRTB;AZG6;ARAPOTI;EET-06 (JOSÉ DIAS);AZ015040;EET-06 (JOSÉ DIAS);ÁGUA;INSPEÇÃO E REVISÃO ELETROMECÂNICA EM UNIDADES OPERACIONAIS;SDMEF;;07/09/2020;06/10/2020;1
GRTB;PWX2;PIRAÍ DO SUL;ETE-02 (PIRAÍ);PW011495;UTILIDADE DE AR COMPRIMIDO;ESGOTO;INSPEÇÃO MECÂNICA EM COMPRESSORES;SDMEF;;08/09/2020;07/10/2020;0
GRTB;PWJ1;PIRAÍ DO SUL;ETA-01;PW011486;DOSADORA;ÁGUA;SUBSTITUIR ÓLEO DE EQUIPAMENTOS;SDMEF;;09/09/2020;08/10/2020;0
GRTB;AZA1;ARAPOTI;CSB-01 (EET - 01);AZ015031;PAINÉIS;ÁGUA;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEF;;10/09/2020;09/10/2020;1
